"kda_adc","wrate_adc","dmg_adc","gold_adc"
"4.2","56","25.6","26.9"
"3.6","53","28.9","28.7"
"3.9","44","27","26.4"
"2.1","11","24.8","24.6"
"3","28","27.5","26.2"
"7.3","61","28.6","27.6"
"6.2","67","31.8","28.1"
"5.4","72","26.9","26.8"
"4.5","61","25.4","28.6"
"8.1","47","28.5","27.9"
"2.5","30","25","24.1"
"5.4","64","22.7","26.5"
"3.2","42","26.1","26.8"
"3.4","37","30.7","28.4"
"3.2","33","26.9","27.2"
"2.1","31","28","25.2"
"5.6","67","27.2","29.3"
"3.6","39","28.1","26.4"
"5.9","82","24.5","26.6"
"9.1","80","23.9","25.1"
"6.4","61","31.3","29.5"
"2.5","38","26.8","26.1"
"4.9","60","29.5","27.8"
"3.7","54","28.2","28"
"6.4","55","27.6","29.3"
"4.3","55","24.5","27.4"
